source,title,company,location,remote,match_score,first_seen_at,url
jobrapido_uae,iGaming High‑Risk Payments Architect,Qureos Inc,Dubai,False,100,2026-07-03T03:19:12.140025+00:00,https://open.app.jobrapido.com/ae/4029895673418612736/?w=igaming&l=dubai&oc=sponsored&k=web.1.1.2&uuid=aeF0019f24003bf2a3f1&page_item_id=2009892406
jobrapido_uae,iGaming Retention Team Lead - Reactivation & Growth,Qureos Inc,Dubai,False,100,2026-07-03T03:19:12.140025+00:00,https://open.app.jobrapido.com/ae/96032734991876096/?w=igaming&l=dubai&oc=sponsored&k=web.1.1.4&uuid=aeF0019f24003bf2a3f1&page_item_id=2034687811
jobrapido_uae,"Senior Compliance Lead - B2B iGaming , Multi‑Market",R77 Global,Dubai,False,100,2026-06-22T07:47:51.243796+00:00,https://open.app.jobrapido.com/ae/5383033409310294016/?w=igaming&l=dubai&oc=sponsored&k=web.1.1.5&uuid=aeF0019f24003bf2a3f1&page_item_id=1555392456
jobrapido_uae,iGaming Key Account Manager — Growth & Client Success,Qureos Inc,Dubai,False,100,2026-06-22T07:47:51.243796+00:00,https://open.app.jobrapido.com/ae/1052822367593562112/?w=igaming&l=dubai&oc=sponsored&k=web.1.1.6&uuid=aeF0019f24003bf2a3f1&page_item_id=-2049425606
jobrapido_uae,Dubai iGaming Product Specialist — Growth & Impact,Caliberly,Dubai,False,100,2026-06-22T07:47:51.243796+00:00,https://open.app.jobrapido.com/ae/2505795372740247552/?w=igaming&l=dubai&oc=sponsored&k=web.1.1.7&uuid=aeF0019f24003bf2a3f1&page_item_id=-512984942
linkedin_public,"Head of Custody, Crypto - Dubai/London",AP Executive - Global Executive Search Agency,아랍에미리트 두바이 두바이,False,100,2026-03-26T13:27:01.168363+00:00,https://www.linkedin.com/jobs/view/4423397902/
jobrapido_uae,Senior iGaming Growth & Acquisition Lead,HumLog,Dubai,False,95,2026-05-07T08:21:29.646145+00:00,https://open.app.jobrapido.com/ae/597566124959203328/?w=igaming&l=dubai&oc=sponsored&k=web.1.1.0&uuid=aeF0019f24003bf2a3f1&page_item_id=-1526312566
linkedin_public,Sales Engineer (Crypto Wallet & Payments),Cregis,아랍에미리트 두바이,False,90,2026-05-24T17:17:34.050419+00:00,https://www.linkedin.com/jobs/view/4415607793/
indeed_uae,"Senior Business Manager, Liquidity Growth",Binance,Remote in Dubai,True,71,2026-07-03T03:19:12.140025+00:00,https://ae.indeed.com/rc/clk?jk=41438fdbff6a6e0d&bb=7kuGfRlmTPPgff2WPfprm_iKAPnhH_D5bRSrO53SECHKqq7iF8xLlc6ZZGDP_3zC6z_69XMWha77TPnaSgoqBJjxqFMAGQKk9n7LAOGIrTEVct9jF2592Tz_kDYzcBJ3GJm9q5Db8cdxoYMUA-3-GY1_rWlqTM3pdyZk4ry6bdQLXGNJffq28L0SrgRbKKi2jb-6J55X17TRqCIO9B-lk9m5QICrWfia&xkcb=SoDi67M3hSJQ7AzCRB0AbzkdCdPP&fccid=ac2ee5578fa99fc9&vjs=3
linkedin_public,"Sales Director, Payments (UAE)",Fireblocks,아랍에미리트 두바이,False,70,2026-07-03T03:19:12.140025+00:00,https://www.linkedin.com/jobs/view/4431750894/
linkedin_public,Community Partnerships Manager (Web3 Gaming),CJC Race 🏇,아랍에미리트 두바이 두바이,False,69,2026-07-03T03:19:12.140025+00:00,https://www.linkedin.com/jobs/view/4433837727/
linkedin_public,Head of Sales (Crypto OTC & Exchange),Arbeat,아랍에미리트 두바이,False,69,2026-06-19T05:51:06.885965+00:00,https://www.linkedin.com/jobs/view/4427310817/
jobvite_pragmaticplay,Account Manager,ARRISE / Pragmatic Play,"Sliema, Malta",False,68,2026-03-29T20:24:53.711808+00:00,https://jobs.jobvite.com/pragmaticplay/job/oteGzfwG
linkedin_public,Dubai Admin Lead,Bybit,아랍에미리트 두바이,False,66,2026-07-03T03:19:12.140025+00:00,https://www.linkedin.com/jobs/view/4435213035/
linkedin_public,Institutional BD Manager,KuCoin Exchange,아랍에미리트 두바이,False,64,2026-07-03T03:19:12.140025+00:00,https://www.linkedin.com/jobs/view/4433034468/
linkedin_public,Monetization & Bonus Economy Manager,EyeSpy Recruitment - iGaming Specialists,아랍에미리트 두바이,False,63,2026-06-19T05:51:06.885965+00:00,https://www.linkedin.com/jobs/view/4428868347/
linkedin_public,Affiliate Relationship Manager - MENA,Binance,아랍에미리트 두바이 두바이,False,56,2026-06-11T06:38:34.844119+00:00,https://www.linkedin.com/jobs/view/4426102663/
linkedin_public,Country Manager (Web3),RedotPay,아랍에미리트 두바이,False,53,2026-06-04T06:15:08.751781+00:00,https://www.linkedin.com/jobs/view/4422692456/
linkedin_public,Paid User Acquisition & Analytics Specialist (Web3 Gaming),CJC Race 🏇,아랍에미리트 두바이 두바이,False,51,2026-07-03T03:19:12.140025+00:00,https://www.linkedin.com/jobs/view/4430606687/
linkedin_public,Deal Sourcing & Partnerships Lead (DTC & E-commerce),Ecomswap,아랍에미리트 두바이,False,48,2026-07-03T03:19:12.140025+00:00,https://www.linkedin.com/jobs/view/4432953638/
linkedin_public,Research BD Manager/Director,Binance,아랍에미리트 두바이 두바이,False,48,2026-03-27T04:10:38.003564+00:00,https://www.linkedin.com/jobs/view/4325748721/
linkedin_public,"Creator Partnerships Manager, Binance Square",Binance,아랍에미리트 두바이 두바이,False,48,2026-04-21T11:11:07.607878+00:00,https://www.linkedin.com/jobs/view/4403942687/
linkedin_public,Risk Manager (Crypto Fund / DeFi & Quant Strategies),EMCD,아랍에미리트 두바이 두바이,False,47,2026-06-22T07:47:51.243796+00:00,https://www.linkedin.com/jobs/view/4426977170/
linkedin_public,Business Development - Payment (Global),Binance,아랍에미리트 두바이 두바이,False,43,2026-06-09T10:16:13.089401+00:00,https://www.linkedin.com/jobs/view/4431273628/
linkedin_public,"Director, Cross-Border Payment Strategy",Confidential,아랍에미리트 두바이,False,31,2026-04-14T04:41:38.440381+00:00,https://www.linkedin.com/jobs/view/4401577220/
linkedin_public,Senior User Growth & Lifecycle Specialist,Binance,아랍에미리트 두바이 두바이,False,30,2026-04-04T06:47:00.083959+00:00,https://www.linkedin.com/jobs/view/4317774364/
